id_cliente,familia_h,purchase_days_total,months_active,mean_interpurchase_days,first_purchase,last_purchase,lifespan_days,recency_days,frequency_recent,frequency_baseline,expected_freq_recent,freq_drop_ratio,volume_recent,volume_baseline,expected_vol_recent,vol_drop_ratio,lifetime_volume,signal_absent,signal_drop_freq,signal_drop_volume,signal_anomaly_high,pattern
100,Familia T1,4,4,107.66666666666667,2024-05-02,2025-03-21,323,283,0.0,1.0,0.32727272727272727,0.0,0.0,1030.9876,337.4141236363636,0.0,3359.4546,True,True,True,False,occasional_silent
1000036869,Familia T1,11,11,175.7,2021-01-19,2025-11-11,1757,48,1.0,2.0,0.6545454545454545,1.5277777777777777,1233.4862,1233.5176,403.69666909090904,3.0554777743836907,8189.434,False,False,False,True,occasional_spike
1000036869,Familia T2,11,11,160.3,2021-01-19,2025-06-10,1603,202,0.0,2.0,0.6545454545454545,0.0,0.0,1984.4172,649.4456290909092,0.0,8835.0494,True,True,True,False,occasional_silent
1000036998,Familia T1,1,1,,2024-07-16,2024-07-16,0,531,0.0,0.0,0.0,,0.0,0.0,0.0,,335.9172,True,False,False,False,insufficient_history
1000037112,Familia T1,45,37,40.38636363636363,2021-01-07,2025-11-19,1777,40,2.0,5.0,1.6363636363636362,1.2222222222222223,997.2640000000001,5440.5838,1780.5546981818184,0.5600861355275064,46414.3496,False,False,False,False,systematic_active
1000037323,Familia T1,15,13,122.71428571428571,2021-03-12,2025-11-24,1718,35,2.0,5.0,1.6363636363636362,1.2222222222222223,1783.6142,4827.4673999999995,1579.8984218181818,1.1289423265246241,13304.9964,False,False,False,False,occasional_active
1000037323,Familia T2,11,10,114.5,2022-10-06,2025-11-24,1145,35,1.0,4.0,1.309090909090909,0.7638888888888888,468.5508,2866.3176,938.0675781818181,0.49948512335129924,6807.111800000001,False,False,True,False,occasional_active
1000037427,Familia T1,10,8,152.22222222222223,2021-04-15,2025-01-14,1370,349,0.0,1.0,0.32727272727272727,0.0,0.0,268.2816,87.80125090909091,0.0,7121.6456,True,True,True,False,occasional_silent
1000037427,Familia T2,6,5,245.0,2021-04-15,2024-08-22,1225,494,0.0,0.0,0.0,,0.0,0.0,0.0,,4223.5512,True,False,False,False,occasional_dormant
1000037428,Familia T1,3,3,638.5,2021-11-12,2025-05-12,1277,231,0.0,1.0,0.32727272727272727,0.0,0.0,927.9014,303.6768218181818,0.0,2533.1322,True,True,True,False,occasional_silent
1000037462,Familia T1,16,16,113.0,2021-02-22,2025-10-14,1695,76,1.0,4.0,1.309090909090909,0.7638888888888888,509.7476,1797.5244,588.2807127272728,0.8665040158070237,6910.198,False,False,False,False,occasional_active
1000037462,Familia T2,12,12,153.36363636363637,2021-04-08,2025-11-20,1687,39,1.0,3.0,0.9818181818181818,1.0185185185185186,484.659,1344.3282000000002,439.96195636363643,1.1015929740966528,5137.479600000001,False,False,False,False,occasional_active
1000037487,Familia T1,1,1,,2024-02-01,2024-02-01,0,697,0.0,0.0,0.0,,0.0,0.0,0.0,,645.3642,True,False,False,False,insufficient_history
1000037511,Familia T1,7,6,212.5,2021-05-04,2024-10-30,1275,425,0.0,0.0,0.0,,0.0,0.0,0.0,,6173.1458,True,False,False,False,occasional_dormant
1000037511,Familia T2,3,2,272.0,2023-05-05,2024-10-30,544,425,0.0,0.0,0.0,,0.0,0.0,0.0,,2337.1962000000003,True,False,False,False,occasional_dormant
1000037560,Familia T1,5,4,394.0,2021-02-15,2025-06-10,1576,202,0.0,1.0,0.32727272727272727,0.0,0.0,386.1258,126.36844363636365,0.0,2952.9502,True,True,True,False,occasional_silent
1000037560,Familia T2,5,4,394.0,2021-02-15,2025-06-10,1576,202,0.0,1.0,0.32727272727272727,0.0,0.0,551.2270000000001,180.40156363636368,0.0,2935.7116,True,True,True,False,occasional_silent
1000037667,Familia T1,1,1,,2021-10-01,2021-10-01,0,1550,0.0,0.0,0.0,,0.0,0.0,0.0,,1003.23,True,False,False,False,insufficient_history
1000037763,Familia T1,1,1,,2023-06-05,2023-06-05,0,938,0.0,0.0,0.0,,0.0,0.0,0.0,,1380.0928000000001,True,False,False,False,insufficient_history
1000038177,Familia T1,2,2,179.0,2021-09-06,2022-03-04,179,1396,0.0,0.0,0.0,,0.0,0.0,0.0,,3154.2556,True,False,False,False,insufficient_history
1000038321,Familia T1,3,2,92.5,2022-05-09,2022-11-10,185,1145,0.0,0.0,0.0,,0.0,0.0,0.0,,2549.5544,True,False,False,False,occasional_dormant
1000038321,Familia T2,3,2,92.5,2022-05-09,2022-11-10,185,1145,0.0,0.0,0.0,,0.0,0.0,0.0,,1939.6093999999998,True,False,False,False,occasional_dormant
1000038392,Familia T1,25,22,73.33333333333333,2021-02-09,2025-12-05,1760,24,2.0,5.0,1.6363636363636362,1.2222222222222223,5285.9702,14763.3066,4831.627614545455,1.0940350999085198,82818.1908,False,False,False,False,systematic_active
1000038392,Familia T2,3,2,21.0,2025-10-13,2025-11-24,42,35,3.0,0.0,0.0,,4071.8264,0.0,0.0,,4071.8264,False,False,False,False,systematic_active
1000038513,Familia T1,1,1,,2021-06-21,2021-06-21,0,1652,0.0,0.0,0.0,,0.0,0.0,0.0,,575.5306,True,False,False,False,insufficient_history
1000038513,Familia T2,2,2,125.0,2021-02-16,2021-06-21,125,1652,0.0,0.0,0.0,,0.0,0.0,0.0,,1879.29,True,False,False,False,insufficient_history
1000038610,Familia T1,8,7,221.14285714285714,2021-07-06,2025-10-01,1548,89,1.0,0.0,0.0,,342.6368000000001,0.0,0.0,,4533.7518,False,False,False,False,occasional_active
1000038685,Familia T1,2,2,80.0,2024-11-05,2025-01-24,80,339,0.0,1.0,0.32727272727272727,0.0,0.0,1614.3368,528.3284072727273,0.0,2689.2844,True,True,True,False,insufficient_history
1000038694,Familia T1,1,1,,2021-01-04,2021-01-04,0,1820,0.0,0.0,0.0,,0.0,0.0,0.0,,962.096,True,False,False,False,insufficient_history
1000038755,Familia T1,1,1,,2023-09-29,2023-09-29,0,822,0.0,0.0,0.0,,0.0,0.0,0.0,,1623.6626,True,False,False,False,insufficient_history
1000038755,Familia T2,1,1,,2023-09-29,2023-09-29,0,822,0.0,0.0,0.0,,0.0,0.0,0.0,,529.8436,True,False,False,False,insufficient_history
1000039979,Familia T1,7,7,175.83333333333334,2021-01-21,2023-12-12,1055,748,0.0,0.0,0.0,,0.0,0.0,0.0,,8534.4572,True,False,False,False,occasional_dormant
1000040157,Familia T1,1,1,,2024-01-25,2024-01-25,0,704,0.0,0.0,0.0,,0.0,0.0,0.0,,335.9172,True,False,False,False,insufficient_history
1000040157,Familia T2,1,1,,2024-01-25,2024-01-25,0,704,0.0,0.0,0.0,,0.0,0.0,0.0,,540.4254000000001,True,False,False,False,insufficient_history
1000040262,Familia T1,1,1,,2023-06-13,2023-06-13,0,930,0.0,0.0,0.0,,0.0,0.0,0.0,,1138.878,True,False,False,False,insufficient_history
1000040276,Familia T1,2,2,23.0,2022-04-20,2022-05-13,23,1326,0.0,0.0,0.0,,0.0,0.0,0.0,,1731.7728,True,False,False,False,insufficient_history
1000040276,Familia T2,1,1,,2022-04-20,2022-04-20,0,1349,0.0,0.0,0.0,,0.0,0.0,0.0,,402.9562000000001,True,False,False,False,insufficient_history
